Item,Req,Data,Freq,Source,Cost,Amt_unit,Source_1,Source_2,ShinyName,Needed_For,Part_Num
#8 steel washer,CTT,All,NA,local,$0.24 ,12,,,0,Receiver,
"1/4"" x 5/8"" neoprene washer",CTT,All,NA,local,$0.77 ,12,,,0,Receiver,
"O-rings 7/32"" ID, 11/32"" OD, 1/16"" Cross Section",CTT,All,NA,local,$0.20 ,2,,,0,Receiver,
SMA Dust Cover w/chain,CTT,All,NA,Digikey,$3.10 ,2,http://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/3-1478985-0/3-1478985-0-ND/1890799,,0,Receiver,
brass carriage bolt,CTT,All,NA,local,$0.20 ,2,,,0,Receiver,
brass nut,CTT,All,NA,local,$0.19 ,2,,,0,Receiver,
brass washer,CTT,All,NA,local,$0.13 ,2,,,0,Receiver,
"O-rings 1/8"" ID, 1/4"" OD, 1/16"" Cross Section",CTT,All,NA,local,$0.27 ,2,,,0,Receiver,
FUNcube Dongle Pro+,All,All,166,FUNcube Dongle,$185.29 ,0,http://www.funcubedongle.com/,,funcube,Receiver,
"SMA male to SMA female - 6"" (2-pack)",CTT,All,166,Amazon,$8.99 ,0,,,sma connector,Receiver,
DHT Electronics RF coaxial coax cable assembly SMA male to N female bulkhead 6'',CTT,All,434,Amazon,$6.00 ,0,https://www.amazon.com/gp/product/B00COX9MTG/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,,sma bulkhead 434,Receiver,
"SMA male right angle to N female bulkhead 12""",CTT,All,166,Amazon,$6.00 ,0,https://www.amazon.com/gp/product/B00COXZ2RM/ref=ppx_yo_dt_b_asin_title_o00_s01?ie=UTF8&psc=1,,sma bulkhead 166,Receiver,
CTT Life Tag Dongle,Sensorgnome,All,434,CTT,$100.00 ,0,https://store.celltracktech.com/products/lifetag-motus-adapter,,ctt dongle,Receiver,
U.S. G.I. Heavy Duty Carry Case/Shipping Container - USED,Sensorgnome,All,166,Coleman's Military Surplus,$24.95 ,0,https://colemans.com/u-s-g-i-heavy-duty-carry-case-shipping-container-used,,big box,Receiver,
U.S. G.I. Small Utility Box,Sensorgnome,All,166,Coleman's Military Surplus,$19.95 ,0,https://colemans.com/u-s-g-i-small-utility-box,,small box,Receiver,
"DHT Electronics RF coaxial coax cable assembly SMA male to BNC female bulkhead 6""",Sensorgnome,All,NA,Amazon,$6.00 ,0,https://www.amazon.com/DHT-Electronics-coaxial-assembly-bulkhead/dp/B00CQ283QI/ref=sr_1_1?ie=UTF8&qid=1489927047&sr=8-1&keywords=DHT+Electronics+RF+coaxial+coax+cable+assembly+SMA+male+to+BNC+female+bulkhead+6%22,,sensorgnome bulkhead,Receiver,
AmazonBasics USB 2.0 Extension Cable 2-Pack - A-Male to A-Female - 3.3 Feet (1 Meter),Sensorgnome,All,NA,Amazon,$7.13 ,2,https://www.amazon.com/AmazonBasics-Extension-Cable-2-Pack-Female/dp/B00NH13Q8W/ref=sr_1_1?ie=UTF8&qid=1489927149&sr=8-1&keywords=AmazonBasics+USB+2.0+Extension+Cable+2-Pack+-+A-Male+to+A-Female+-+3.3+Feet+%281+Meter%29,,0,Receiver,
Raspberry Pi microUSB power cable with on/off switch,Sensorgnome,All,NA,Amazon,$6.99 ,1,https://www.amazon.com/gp/product/B00JU24Z3W/ref=oh_aui_detailpage_o00_s00?ie=UTF8&psc=1,,0,Receiver,
Black & Red Terminal Binding Post,Sensorgnome,All,NA,Amazon,$6.79 ,1,https://www.amazon.com/CESS-Terminal-Binding-Amplifier-Banana/dp/B01G0PLING/ref=sr_1_5?s=electronics&ie=UTF8&qid=1489946224&sr=1-5&keywords=binding+posts,,0,Receiver,
"O-rings 7/32"" ID, 11/32"" OD, 1/16"" Cross Section",Sensorgnome,All,NA,local,$0.15 ,3,,,0,Receiver,
